P= 5 ;
T= 100 ;
R= 10 ;
M= 3 ;
v= 3 ;
r=[0,5,2,4,4];
d =[[ 0 , 12 , 11 , 9 , 9 ],
[ 12 , 0 , 4 , 4 , 6 ],
[ 11 , 4 , 0 , 4 , 7 ],
[ 9 , 4 , 4 , 0 , 5 ],
[ 9 , 6 , 7 , 5 , 0 ],];
t =[[ 0 , 12 , 11 , 9 , 9 ],
[ 12 , 0 , 4 , 4 , 6 ],
[ 11 , 4 , 0 , 4 , 0 ],
[ 9 , 4 , 4 , 0 , 5 ],
[ 9 , 6 , 0 , 5 , 0 ],];
alpha =[[ 100 , 10 , 10 , 10 , 10 ],
[ 10 , 100 , 10 , 10 , 10 ],
[ 10 , 10 , 100 , 10 , 10 ],
[ 10 , 10 , 10 , 100 , 10 ],
[ 10 , 10 , 10 , 10 , 100 ],];
wir =[[ 1 , 0 , 0 , 0 , 0 ],
[ 0 , 1 , 1 , 1 , 0 ],
[ 0 , 1 , 1 , 1 , 0 ],
[ 0 , 1 , 1 , 1 , 0 ],
[ 0 , 0 , 0 , 0 , 1 ],];
P= 5 ;
T= 100 ;
R= 10 ;
M= 3 ;
v= 3 ;
r=[0,4,2,3,3];
d =[[ 0 , 10 , 7 , 10 , 9 ],
[ 10 , 0 , 5 , 3 , 7 ],
[ 7 , 5 , 0 , 6 , 5 ],
[ 10 , 3 , 6 , 0 , 9 ],
[ 9 , 7 , 5 , 9 , 0 ],];
t =[[ 0 , 10 , 7 , 10 , 9 ],
[ 10 , 0 , 5 , 3 , 7 ],
[ 7 , 5 , 0 , 0 , 5 ],
[ 10 , 3 , 0 , 0 , 9 ],
[ 9 , 7 , 5 , 9 , 0 ],];
alpha =[[ 100 , 10 , 10 , 10 , 10 ],
[ 10 , 100 , 10 , 10 , 10 ],
[ 10 , 10 , 100 , 10 , 10 ],
[ 10 , 10 , 10 , 100 , 10 ],
[ 10 , 10 , 10 , 10 , 100 ],];
wir =[[ 1 , 0 , 0 , 0 , 0 ],
[ 0 , 1 , 0 , 1 , 0 ],
[ 0 , 0 , 1 , 0 , 0 ],
[ 0 , 1 , 0 , 1 , 0 ],
[ 0 , 0 , 0 , 0 , 1 ],];
P= 5 ;
T= 100 ;
R= 10 ;
M= 3 ;
v= 3 ;
